h3_id,suburb,month,sr_count
88ad368985fffff,KHAYELITSHA,Oct 2020,412
88ad368985fffff,KHAYELITSHA,Jan 2020,386
88ad368985fffff,KHAYELITSHA,Sep 2020,328
88ad368985fffff,KHAYELITSHA,Nov 2020,309
88ad368985fffff,KHAYELITSHA,Aug 2020,297
88ad361009fffff,GUGULETU,Oct 2020,289
88ad368985fffff,KHAYELITSHA,Dec 2020,286
88ad368985fffff,KHAYELITSHA,Jul 2020,284
88ad368935fffff,ENKANINI,Nov 2020,268
88ad361009fffff,GUGULETU,Jul 2020,268
88ad368985fffff,KHAYELITSHA,Feb 2020,239
88ad368985fffff,KHAYELITSHA,Jun 2020,238
88ad368985fffff,KHAYELITSHA,Apr 2020,238
88ad361009fffff,GUGULETU,Dec 2020,237
88ad361009fffff,GUGULETU,Aug 2020,226
88ad361009fffff,GUGULETU,Feb 2020,223
88ad361009fffff,GUGULETU,Nov 2020,218
88ad361009fffff,GUGULETU,Sep 2020,192
88ad361231fffff,PHILIPPI,Oct 2020,191
88ad361051fffff,MANENBERG,Dec 2020,189
88ad368985fffff,KHAYELITSHA,May 2020,186
88ad3610e7fffff,LANGA,Jan 2020,185
88ad3610e7fffff,LANGA,Feb 2020,181
88ad3610e7fffff,LANGA,Mar 2020,179
88ad368985fffff,KHAYELITSHA,Mar 2020,170
88ad361009fffff,GUGULETU,Jan 2020,161
88ad368935fffff,ENKANINI,Oct 2020,157
88ad361041fffff,NYANGA,Oct 2020,157
88ad361009fffff,GUGULETU,May 2020,154
88ad3610e7fffff,LANGA,Jul 2020,153
88ad3612a9fffff,HANOVER PARK,Dec 2020,152
88ad361009fffff,GUGULETU,Jun 2020,150
88ad361127fffff,BELLVILLE SOUTH,Nov 2020,145
88ad361009fffff,GUGULETU,Mar 2020,144
88ad36118bfffff,RUYTERWACHT,Sep 2020,143
88ad3610e7fffff,LANGA,Oct 2020,141
88ad3610e7fffff,LANGA,Aug 2020,140
88ad36118bfffff,RUYTERWACHT,Dec 2020,136
88ad3610e7fffff,LANGA,Nov 2020,133
88ad361041fffff,NYANGA,Dec 2020,132
88ad360245fffff,WINDERMERE,Oct 2020,132
88ad361041fffff,NYANGA,Jan 2020,131
88ad361547fffff,WOODSTOCK,Oct 2020,130
88ad36c493fffff,WESBANK,Feb 2020,129
88ad3612a9fffff,HANOVER PARK,Nov 2020,129
88ad3610e7fffff,LANGA,Sep 2020,129
88ad361231fffff,PHILIPPI,Sep 2020,129
88ad361231fffff,PHILIPPI,Nov 2020,129
88ad36c693fffff,NONQUBELA,Oct 2020,128
88ad368d17fffff,GRASSY PARK,Oct 2020,128
88ad361547fffff,WOODSTOCK,Nov 2020,127
88ad361231fffff,PHILIPPI,Dec 2020,127
88ad3670e7fffff,SAXONSEA,Dec 2020,127
88ad361231fffff,PHILIPPI,Aug 2020,126
88ad361041fffff,NYANGA,Sep 2020,125
88ad3610e3fffff,LANGA,Aug 2020,124
88ad368989fffff,TAFELSIG,Feb 2020,124
88ad361041fffff,NYANGA,Jul 2020,124
88ad361041fffff,NYANGA,Aug 2020,124
88ad368ecdfffff,FISH HOEK,Feb 2020,123
